SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
2192,5,RESOURCE AND ECONOMIC DEVELOPMENT,530,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS,53099,,FIN ASST-OPERATIONS OF LOCAL TREASURERS
2193,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67911,,PROPERTY TAX ASSISTANCE TO LOCALITIES
2194,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67913,,GENERAL ACCOUNTING
2195,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67914,,CUSTODIAL SERVICES
2198,5,RESOURCE AND ECONOMIC DEVELOPMENT,531,ANIMAL AND POULTRY DISEASE AND PEST CONTROL,53199,,OTHER SERVICES
2200,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,COMMERCE AND AGRIC MARKETS DEVELOP AND IMPROVEMENT,53202,,TRANSPORTATION SERVICES
2201,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50502,,AIRCRAFT MAINTENANCE AND OPERATION
2202,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50503,,COLLECTION AND LOCATOR SERVICES
2203,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50504,,PERSONNEL SERVICES
2205,7,GENERAL GOVERNMENT,725,"INVESTMENT, TRUST AND INSURANCE SERVICES",72505,,RESIDENTIAL SERVICES
2206,7,GENERAL GOVERNMENT,725,"INVESTMENT, TRUST AND INSURANCE SERVICES",72599,,POLICY DEVELOPMENT
2207,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56012,,INFORMATION SYSTEMS ASSISTANCE & CONTROL
2208,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56013,,"RESEARCH, EVALUATION AND POLICY SERVICES"
2209,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56014,,ARCHITECTURAL AND ENGINEERING SERVICES
2210,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50505,,NURSING MANAGEMENT AND DIRECTION
2211,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50506,,FINANCIAL ASSISTANCE FOR LAND MANAGEMENT
2212,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50507,,"MARINE SCIENCE, RESOURCES & ENVIRONMENTAL RESEARCH"
2213,7,GENERAL GOVERNMENT,726,LABORATORY SERVICES,72602,,OTHER SERVICES
2215,7,GENERAL GOVERNMENT,726,LABORATORY SERVICES,72699,,WATER RESOURCES ENFORCEMENT
2216,7,GENERAL GOVERNMENT,779,ADMINISTRATIVE AND SUPPORT SERVICES,77900,,AIR QUALITY STATIONARY SOURCE COMPLIANCE INSPECTN
2217,7,GENERAL GOVERNMENT,782,ENACTMENT OF LAWS,78200,,CHESAPEAKE BAY WATER QUALITY & HABITAT MONITORING
2218,7,GENERAL GOVERNMENT,783,LEGISLATIVE EVALUATION AND REVIEW,78300,,FINANCIAL ASSISTANCE FOR WATER QUALITY
2219,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50508,,REGULATORY DEVELOPMENT AND REVIEW
2220,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50509,,OTHER SERVICES
2221,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11909,,MINE INSPECTION
2222,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11910,,"DRUG,COSMETICS AND DEVICES REGULATION"
2223,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11911,,BARBER REGULATION
2224,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17507,,ENGINEER REGULATION
2225,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17508,,MIDWIFERY REGULATION
2226,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17509,,PHARMACIST REGULATION
2227,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11913,,SANITARIAN REGULATION
2228,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11914,,FIN ASSIST FOR REGULATING ELEM/SECONDARY TEACHERS
2229,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11915,,OTHER SERVICES
2230,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11916,,FOOD AND DIETARY SERVICES
2231,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11917,,PLANNING AND EVALUATION SERVICES
2232,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11918,,MONITORING AND OVERSIGHT OF CHARITABLE GAMING
2233,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67915,,FIRE SERVICES MANAGEMENT AND COORDINATION
2234,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67916,,PAYMENTS TO HIGHER ED & ECONOMIC DEV TRUST FD
2235,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67917,,ACCOUNTING AND BUDGETING SERVICES
2236,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17510,,MEDICAL MANAGEMENT AND DIRECTION
2237,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17511,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2238,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17512,,GRANT AND LOAN ADMINISTRATION
2239,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11919,,FILTRATION AND TREATMENT PLANT OPERATION
2240,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11920,,PHYSICAL PLANT SERVICES
2241,7,GENERAL GOVERNMENT,727,PHYSICAL PLANT ACQUISITION AND CONSTRUCTION,72701,,SECURITY SERVICES
2242,7,GENERAL GOVERNMENT,727,PHYSICAL PLANT ACQUISITION AND CONSTRUCTION,72702,,CODIFICATION OF LAWS
2243,7,GENERAL GOVERNMENT,727,PHYSICAL PLANT ACQUISITION AND CONSTRUCTION,72703,,BILL DRAFTING AND PREPARATION
2244,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56015,,ARCHITECTURAL AND ENGINEERING SERVICES
2245,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56016,,FEDERAL PROGRAMS ADMINISTRATION
2246,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56017,,HOUSEKEEPING SERVICES
2247,7,GENERAL GOVERNMENT,727,PHYSICAL PLANT ACQUISITION AND CONSTRUCTION,72704,,POWER PLANT OPERATION
2248,7,GENERAL GOVERNMENT,727,PHYSICAL PLANT ACQUISITION AND CONSTRUCTION,72799,,TRAINING AND EDUCATION SERVICES
2249,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72801,,COOPERATIVE LIBRARY SERVICES
2250,7,GENERAL GOVERNMENT,784,LEGISLATIVE RESEARCH AND ANALYSIS,78400,,REGISTRAR SERVICES
2251,7,GENERAL GOVERNMENT,785,DAMAGE AND LOSS CLAIMS,78500,,ACCOUNTING AND BUDGETING SERVICES
2252,7,GENERAL GOVERNMENT,786,VIRGINIA DISCRETIONARY FUND,78600,,MEDICAL MANAGEMENT AND DIRECTION
2253,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56018,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2254,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56019,,GRANT AND LOAN ADMINISTRATION
2255,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56020,,FINANCIAL ASST FOR RESEARCH AND TESTING
2256,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72802,,FINANCIAL ASSISTANCE FOR RADIO READING SERVICES
2258,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72804,,OTHER SERVICES
2259,5,RESOURCE AND ECONOMIC DEVELOPMENT,505,MARINE LIFE MANAGEMENT,50599,,TEACHER MANAGEMENT AND DIRECTION
2261,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,COMMERCE AND AGRIC MARKETS DEVELOP AND IMPROVEMENT,53203,,OTHER SERVICES
2264,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11921,,FIN ASSIST FOR JUV CONFINEMENT IN LOCAL FACILITIES
2265,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11922,,JUVENILE REHABILITATION AND TREATMENT SERVICES
2266,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11923,,CORRECTIONS OPER SPECIAL RESERVE
2268,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,COMMERCE AND AGRIC MARKETS DEVELOP AND IMPROVEMENT,53207,,HOUSEKEEPING SERVICES
2269,5,RESOURCE AND ECONOMIC DEVELOPMENT,532,COMMERCE AND AGRIC MARKETS DEVELOP AND IMPROVEMENT,53299,,POWER PLANT OPERATION
2270,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17513,,TRAINING AND EDUCATION SERVICES
2271,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17514,,FIN ASSIST TO MOSQUITO CONTROL COMMISSIONS
2272,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17515,,MEDICAL EXAMINER SERVICES
2273,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56021,,SEXUALLY TRANSMITTED DISEASE PREVENTION/CONTROL
2274,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56022,,"MENTAL RETARDATION RESEARCH,PLANNING AND COORDIN"
2275,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56023,,GENERAL MANAGEMENT AND DIRECTION
2277,5,RESOURCE AND ECONOMIC DEVELOPMENT,533,ECONOMIC DEVELOP RESEARCH/PLANNING/COORDINATION,53302,,ACCOUNTING AND BUDGETING SERVICES
2279,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17516,,ENFORCEMENT AND REGULATION OF TOBACCO CONTROL LAWS
2280,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17517,,COORDINATION OF ASSET SEIZURE/FORFEITURE ACTIVITY
2281,7,GENERAL GOVERNMENT,787,"INSPECTION, MONITORING AND AUDITING SERVICES",78700,,HOUSEKEEPING SERVICES
2282,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79900,,POWER PLANT OPERATION
2283,8,ENTERPRISES,801,ALCOHOLIC BEVERAGE MERCHANDISING,80100,,TRAINING AND EDUCATION SERVICES
2286,5,RESOURCE AND ECONOMIC DEVELOPMENT,506,MINERALS MANAGEMENT,50699,,OTHER SERVICES
2287,8,ENTERPRISES,802,AGRIBUSINESS,80200,,FIN ASST-OPERATIONS FOR CIRCUIT COURT CLERKS
2288,8,ENTERPRISES,803,INDUSTRIAL SERVICES,80300,,STATISTICAL SYSTEMS
2289,8,ENTERPRISES,804,MANUFACTURING,80400,,"INDIGENT DEFENSE, CRIMINAL"
2290,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67918,,ARCHITECTURAL AND ENGINEERING SERVICES
2291,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67919,,NURSING MANAGEMENT AND DIRECTION
2292,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67920,,RECREATION SERVICES
2293,8,ENTERPRISES,805,RETAIL AND SELECTED SERVICES,80500,,OTHER SERVICES
2294,8,ENTERPRISES,806,"VENDING FACILITIES, SNACK BARS AND CAFETERIAS",80600,,OTHER SERVICES
2295,8,ENTERPRISES,807,AUXILIARY ENTERPRISE - NATIONAL GUARD OPERATIONS,80700,,OTHER SERVICES
2296,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72805,,DENTAL LABORATORIES
2297,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72806,,HOUSEHOLD AND INSTITUTIONAL ITEM PRODUCTION
2298,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72807,,OTHER SERVICES
2299,8,ENTERPRISES,809,HIGHER EDUCATION AUXILIARY ENTERPRISES,80900,,OTHER ENTERPRISE FUNCTIONS
2300,8,ENTERPRISES,810,REHABILITATIVE INDUSTRIES,81000,,RECREATIONAL AND INTRAMURAL PROGRAMS
2301,5,RESOURCE AND ECONOMIC DEVELOPMENT,533,ECONOMIC DEVELOP RESEARCH/PLANNING/COORDINATION,53304,,STORAGE MANAGEMENT AND DELIVERY SERVICES
2303,5,RESOURCE AND ECONOMIC DEVELOPMENT,533,ECONOMIC DEVELOP RESEARCH/PLANNING/COORDINATION,53306,,GENERAL MANAGEMENT AND DIRECTION
2304,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17518,,LINEN AND LAUNDRY SERVICES
2305,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17519,,PROCUREMENT AND DISTRIBUTION SERVICES
2306,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17520,,TRANSPORTATION SERVICES
2307,5,RESOURCE AND ECONOMIC DEVELOPMENT,533,ECONOMIC DEVELOP RESEARCH/PLANNING/COORDINATION,53399,,OTHER SERVICES
2310,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17521,,COLLECTION AND DISBURSEMENT SERVICES
2311,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17522,,HOUSEKEEPING SERVICES
2312,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17523,,POWER PLANT OPERATION
2313,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11924,,RIGHT OF WAY ACQUISITION
2314,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11925,,FINANCIAL ASSISTANCE FOR ROADS/OTHER CONSTRUCTION
2315,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11926,,GROUND TRANSPORTATION SAFETY PROMOTION
2319,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17524,,OTHER SERVICES
2320,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17525,,RIGHTS-OF-WAY ACQUISITION
2321,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56024,,FOOD AND DIETARY SERVICES
2322,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56025,,PLANNING AND EVALUATION SERVICES
2323,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56026,,TEACHER MANAGEMENT AND DIRECTION
2324,8,ENTERPRISES,811,STATE LOTTERY OPERATIONS,81100,,PORT FACILITIES PLANNING
2325,8,ENTERPRISES,812,DISBURSEMENT OF LOTTERY PRIZE PAYMENTS,81200,,FILTRATION AND TREATMENT PLANT OPERATION
2326,8,ENTERPRISES,819,ADMINISTRATIVE AND SUPPORT SERVICES,81900,,PHYSICAL PLANT SERVICES
2328,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72809,,LINEN AND LAUNDRY SERVICES
2330,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56027,,PROCUREMENT AND DISTRIBUTION SERVICES
2331,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56028,,TRANSPORTATION SERVICES
2332,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56029,,NURSING MANAGEMENT AND DIRECTION
2334,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50702,,RECREATION SERVICES
2335,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50703,,OTHER SERVICES
2336,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56030,,HISTORIC AND COMMEMORATIVE ATTRACTION MANAGEMENT
2337,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56031,,AGRIC AND SEAFOOD PRODUCT PROMO AND DEVELOP SVCS
2338,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56032,,ECONOMIC AND COMMUNITY DEVELOPMENT SERVICES
2340,8,ENTERPRISES,821,PRINTING AND REPRODUCTION,82100,,REGULATION OF INSURANCE COMPANIES
2341,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67921,,ADMINISTRATIVE AND SUPPORT SERVICES
2342,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67922,,HIGHWAY WORK IN PROGRESS
2343,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67923,,BOATING SAFETY AND REGULATION
2350,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17526,,ADMINISTRATIVE AND SUPPORT SERVICES
2351,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17527,,REVENUE RESERVE
2352,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17528,,FIN ASSIST TO LOCALITIES - GENERAL
2355,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53501,,VIRGINIA EDUCATION LOAN RESERVE FUND
2357,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72812,,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS
2359,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53502,,PERFORMING ARTS
2360,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53503,,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY)
2361,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50704,,REVERSION CLEARING ACCT-SURPLUS PROPERTY PROCEEDS
2362,5,RESOURCE AND ECONOMIC DEVELOPMENT,507,RESOURCE MANAGEMENT RESEARCH/PLANNING/COORDINATION,50799,,REVERSION CLEARING ACCOUNT - PUBLIC EDUCATION
2365,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56034,,TEMP EMPLOYEE BENEFIT CLEARING ACCT 4/1-6/30
2366,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56035,,LEGAL ADVICE
2368,8,ENTERPRISES,823,TRANSPORTATION POOL SERVICES,82300,,ADMINISTRATIVE AND SUPPORT SERVICES
2369,8,ENTERPRISES,824,WAREHOUSING AND DISTRIBUTION SERVICES,82400,,ADMINISTRATIVE AND SUPPORT SERVICES
2371,5,RESOURCE AND ECONOMIC DEVELOPMENT,510,COASTAL LANDS MANAGEMENT,51099,,FINANCIAL ASSISTANCE FOR HEALTH RESEARCH
2372,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51101,,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION
2375,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51104,,HOUSING ASSISTANCE SERVICES
2376,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56036,,SCHOOL FOOD PAYMENTS
2377,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56037,,OTHER SERVICES
2378,5,RESOURCE AND ECONOMIC DEVELOPMENT,560,REGULATION OF PROFESSIONS AND OCCUPATIONS,56038,,CONFEDERATE WOMEN'S INCOME ASSISTANCE
2379,8,ENTERPRISES,825,PROPERTY DISPOSAL SERVICES,82500,,VETERANS TRAINING DETERMINATION
2380,8,ENTERPRISES,826,SERVICE CENTER ADMINISTRATION,82600,,VA WORK INCENTIVE PAY PROGRAM
2381,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11927,,CHILDREN'S MEDICAL ASSIST ADM (SCHIP-NON-MEDICAID)
2382,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11928,,ACCOUNTING AND BUDGETING SERVICES
2383,1,EDUCATION,119,ADMINISTRATIVE AND SUPPORT SERVICES,11999,,MEDICAL MANAGEMENT AND DIRECTION
2385,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53505,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2386,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53506,,GRANT AND LOAN ADMINISTRATION
2390,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17529,,DIRECT SOCIAL SERVICES
2391,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17530,,FINANCIAL ASSISTANCE FOR FOREST LAND MANAGEMENT
2392,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17531,,MATERNAL & CHILD HEALTH SERVICES
2393,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72899,,DRUG ABUSE SERVICES
2394,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73001,,MENTAL HEALTH SERVICES
2396,5,RESOURCE AND ECONOMIC DEVELOPMENT,535,PLANT PEST AND DISEASE CONTROL,53599,,COMPUTER SERVICES
2397,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53601,,MEDICAL AND CLINICAL SERVICES
2398,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53602,,PROCUREMENT AND DISTRIBUTION SERVICES
2401,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67924,,TRANSPORTATION SERVICES
2402,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67925,,CRIME VICTIM COMPENSATION
2403,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67926,,PROTECTION OF CHILDREN AND YOUTHS
2404,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67927,,SOCIAL AND PERSONAL ADJUSTMENT SERVICES
2405,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67928,,OTHER SERVICES
2406,6,TRANSPORTATION,679,ADMINISTRATIVE AND SUPPORT SERVICES,67999,,VITAMIN ASSAY
2407,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51106,,INSURANCE CONCERN REGULATION
2408,5,RESOURCE AND ECONOMIC DEVELOPMENT,511,WILDLIFE AND FRESHWATER FISHERIES MANAGEMENT,51199,,OTHER SERVICES
2409,5,RESOURCE AND ECONOMIC DEVELOPMENT,512,ENVIRONMENTAL RESOURCES MANAGEMENT,51202,,CONTRACTOR REGULATION
2411,7,GENERAL GOVERNMENT,701,GOVERNMENTAL AFFAIRS SERVICES,70102,,INSURANCE SOLICITORS AND AGENTS REGULATION
2412,7,GENERAL GOVERNMENT,701,GOVERNMENTAL AFFAIRS SERVICES,70103,,NURSING HOME ADMINISTRATOR REGULATION
2413,8,ENTERPRISES,827,PUB SAFETY TELECOMMUNICATIONS/INFO SYS INFRASTRUCT,82700,,WATER AND WASTE WATER WORKS OPERATORS REGULATION
2414,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84900,,REGULATION OF HEALTH CARE SERVICE PROVIDERS
2415,9,CAPITAL OUTLAY PROJECTS,998,CAPITAL OUTLAY PROJECTS,99800,,INDUSTRIALIZED BUILDING SAFETY CODE
2416,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53603,,ACCOUNTING AND BUDGETING SERVICES
2417,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53604,,PHYSICAL PLANT SERVICES
2418,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53605,,SECURITY SERVICES
2420,1,EDUCATION,137,ARCHIVES MANAGEMENT,13799,,AGRICULTURAL PRODUCT PROMOTION SERVICES
2421,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73003,,COOPER WITH THE USDA AND OTHER FEDERAL AGENCIES
2422,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73004,,OTHER SERVICES
2423,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73005,,OTHER SERVICES
2424,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73099,,FILTRATION AND TREATMENT PLANT OPERATION
2425,7,GENERAL GOVERNMENT,731,FEDERAL RETIREE TAX RESERVE,73101,,PHYSICAL PLANT SERVICES
2426,7,GENERAL GOVERNMENT,731,FEDERAL RETIREE TAX RESERVE,73102,,SECURITY SERVICES
2427,1,EDUCATION,175,FIN ASSIST FOR PUBLIC EDUCATION (STD OF QUALITY),17599,,CHARITABLE SOLICITATION REGULATION
2428,1,EDUCATION,177,FIN ASSIST FOR SPEC STATE REV SHARING (SALES TAX),17701,,SOCIAL SECURITY BENEFITS (LOCAL)
2429,1,EDUCATION,177,FIN ASSIST FOR SPEC STATE REV SHARING (SALES TAX),17702,,ADMINISTRATIVE AND SUPPORT SERVICES
2430,7,GENERAL GOVERNMENT,731,FEDERAL RETIREE TAX RESERVE,73103,,ALCOHOLIC BEVERAGE MERCHANDISING
